# t	u	y	glucose	insulin	remote_insulin_effect	infusion_rate	meal_disturbance
# model_name=glucose_insulin_bergman, controlled_output=glucose_deviation, dt=0.1 sec, dt_sim=0.01 sec, input_type=random_steps, preg_blackbox_enabled=False, r_preg=-0.05, Gb=5.5, Ib=10, U0=0, U_gain=2.2, tau_pump=0.2, p1=0.025, p2=0.03, p3=0.0012, n=0.1, V_I=12, meal_amp=0.12, meal_time=45, meal_tau=14
1.8785000000e+03	4.5560087213e-02	-3.1431307563e+00	2.3568692437e+00	1.0958209326e+01	3.5759483497e-02	1.1500814490e+00	0.0000000000e+00
1.8786000000e+03	4.5560087213e-02	-3.1437001486e+00	2.3562998514e+00	1.0958211236e+01	3.5767178732e-02	1.1500814490e+00	0.0000000000e+00
1.8787000000e+03	4.5560087213e-02	-3.1442678964e+00	2.3557321036e+00	1.0958213126e+01	3.5774851143e-02	1.1500814490e+00	0.0000000000e+00
1.8788000000e+03	4.5560087213e-02	-3.1448340035e+00	2.3551659965e+00	1.0958214997e+01	3.5782500797e-02	1.1500814490e+00	0.0000000000e+00
1.8789000000e+03	4.5560087213e-02	-3.1453984735e+00	2.3546015265e+00	1.0958216850e+01	3.5790127760e-02	1.1500814490e+00	0.0000000000e+00
1.8790000000e+03	4.5560087213e-02	-3.1459613102e+00	2.3540386898e+00	1.0958218684e+01	3.5797732096e-02	1.1500814490e+00	0.0000000000e+00
1.8791000000e+03	4.5560087213e-02	-3.1465225175e+00	2.3534774825e+00	1.0958220501e+01	3.5805313873e-02	1.1500814490e+00	0.0000000000e+00
1.8792000000e+03	4.5560087213e-02	-3.1470820989e+00	2.3529179011e+00	1.0958222299e+01	3.5812873155e-02	1.1500814490e+00	0.0000000000e+00
1.8793000000e+03	4.5560087213e-02	-3.1476400583e+00	2.3523599417e+00	1.0958224079e+01	3.5820410008e-02	1.1500814490e+00	0.0000000000e+00
1.8794000000e+03	4.5560087213e-02	-3.1481963994e+00	2.3518036006e+00	1.0958225841e+01	3.5827924496e-02	1.1500814490e+00	0.0000000000e+00
1.8795000000e+03	4.5560087213e-02	-3.1487511259e+00	2.3512488741e+00	1.0958227586e+01	3.5835416684e-02	1.1500814490e+00	0.0000000000e+00
